Year,Ticker,Total Revenue,Gross Profit,Net Income,Total Debt
2020-09-30,AAPL,274515000000.0,104956000000.0,57411000000.0,112436000000.0
2021-09-30,AAPL,365817000000.0,152836000000.0,94680000000.0,124719000000.0
2022-09-30,AAPL,394328000000.0,170782000000.0,99803000000.0,120069000000.0
2023-09-30,AAPL,383285000000.0,169148000000.0,96995000000.0,111088000000.0
2020-06-30,MSFT,143015000000.0,96937000000.0,44281000000.0,70998000000.0
2021-06-30,MSFT,168088000000.0,115856000000.0,61271000000.0,67775000000.0
2022-06-30,MSFT,198270000000.0,135620000000.0,72738000000.0,61270000000.0
2023-06-30,MSFT,211915000000.0,146052000000.0,72361000000.0,59965000000.0
2023-12-31,GOOGL,307394000000.0,174062000000.0,73795000000.0,28504000000.0
2022-12-31,GOOGL,282836000000.0,156633000000.0,59972000000.0,29679000000.0
2021-12-31,GOOGL,257637000000.0,146698000000.0,76033000000.0,28395000000.0
2020-12-31,GOOGL,182527000000.0,97795000000.0,40269000000.0,26772000000.0
2020-12-31,TSLA,31536000000.0,6630000000.0,721000000.0,13279000000.0
2021-12-31,TSLA,53823000000.0,13606000000.0,5524000000.0,8873000000.0
2022-12-31,TSLA,81462000000.0,20853000000.0,12583000000.0,5748000000.0
2023-12-31,TSLA,96773000000.0,17660000000.0,14999000000.0,9573000000.0
2023-12-31,GM,171842000000.0,19138000000.0,10127000000.0,122648000000.0
2022-12-31,GM,156735000000.0,20981000000.0,9934000000.0,115666000000.0
2021-12-31,GM,127004000000.0,17878000000.0,10019000000.0,110391000000.0
2020-12-31,GM,122485000000.0,13672000000.0,6427000000.0,110863000000.0
2023-12-31,F,176191000000.0,16160000000.0,4347000000.0,151107000000.0
2022-12-31,F,158057000000.0,17164000000.0,-1981000000.0,140474000000.0
2021-12-31,F,136341000000.0,16438000000.0,17937000000.0,139485000000.0
2020-12-31,F,127144000000.0,5785000000.0,-1279000000.0,162998000000.0
2021-01-31,NVDA,16675000000.0,10396000000.0,4332000000.0,7597000000.0
2022-01-31,NVDA,26914000000.0,17475000000.0,9752000000.0,11831000000.0
2023-01-31,NVDA,26974000000.0,15356000000.0,4368000000.0,12031000000.0
2024-01-31,NVDA,60922000000.0,44301000000.0,29760000000.0,11056000000.0
2023-12-31,DAL,58048000000.0,11477000000.0,4609000000.0,27281000000.0
2022-12-31,DAL,50582000000.0,7815000000.0,1318000000.0,30610000000.0
2021-12-31,DAL,29899000000.0,-179000000.0,280000000.0,34679000000.0
2020-12-31,DAL,17095000000.0,-6321000000.0,-12385000000.0,35548000000.0
2023-12-31,AAL,52788000000.0,11810000000.0,822000000.0,40663000000.0
2022-12-31,AAL,48971000000.0,9037000000.0,127000000.0,43687000000.0
2021-12-31,AAL,29882000000.0,27000000.0,-1993000000.0,46177000000.0
2020-12-31,AAL,17337000000.0,-7226000000.0,-8885000000.0,41021000000.0
2020-12-31,LUV,9048000000.0,-1890000000.0,-3074000000.0,12199000000.0
2021-12-31,LUV,15790000000.0,4115000000.0,977000000.0,12281000000.0
2022-12-31,LUV,23814000000.0,4752000000.0,539000000.0,9431000000.0
2023-12-31,LUV,26091000000.0,4223000000.0,465000000.0,9200000000.0
